category,Event,Customer_IP,Event_Time,Product_ID,Quantity,Collection_Name,Search_Term,Time_On_Page,Product_Name,session,Customer_ID,Customer_Name
Engagement,Home,14.96.104.137,2025-01-24 13:03:15.831000+00:00,,,,,370.688,,1,,
Engagement,Home,14.96.104.137,2025-01-27 04:34:12.890000+00:00,,,,,59.675,,2,,
Engagement,Home,88.97.196.46,2025-01-24 11:05:11.250000+00:00,,,,,6.211,,1,,
Engagement,Product,88.97.196.46,2025-01-24 11:07:11.095000+00:00,14888230945141.0,,,,4.464,thank f k i swiped right red handle mug,1,,
Engagement,Cart,88.97.196.46,2025-01-24 11:16:39.117000+00:00,,,,,1566.039,,1,,
Engagement,Home,88.97.196.46,2025-01-24 11:47:53.142000+00:00,,,,,76.888,,1,,
Engagement,Cart Add,88.97.196.46,2025-01-24 11:48:55.608000+00:00,14889038479733.0,1.0,,,,Gift Box,1,,
Engagement,Cart,88.97.196.46,2025-01-24 11:58:57.471000+00:00,,,,,14.563,,1,,
Engagement,Product,88.97.196.46,2025-01-24 12:00:58.329000+00:00,14889473081717.0,,,,88.609,joe sephs caramel raspberry white chocolate coated popcorn 30g,1,,
Engagement,Cart,88.97.196.46,2025-01-24 12:06:09.010000+00:00,,,,,133.171,,1,,
Engagement,Home,88.97.196.46,2025-01-25 20:39:01.668000+00:00,,,,,117152.472,,2,,
Engagement,Home,88.97.196.46,2025-01-25 22:00:24.311000+00:00,,,,,8.762,,3,,
Engagement,Product,88.97.196.46,2025-01-25 22:26:53.044000+00:00,14890276258165.0,,,,14.536,planet silver necklace,3,,
