Product_ID,Product_Title,Product_Type,Product_Published_At,Product_Variant_Id,Variant_Price,Variant_Inventory_Quantity,Variant_Created_At,Product_Created_At,Body_Html,Variant_Title,Option_Names,Option_Values,Image_Ids,Image_Sources
14893000196469,We are Paradoxx Detox Hair Mask,sweets,2025-01-31T10:56:52Z,54963805716853,14.99,10,2025-01-31T10:44:28Z,2025-01-31T10:44:27Z,"<h5 style=""text-align: center;""><strong>Hit Refresh on Your Hair! ✨</strong></h5>
<h5 style=""text-align: center;"">Give your locks the ultimate detox with <strong>We Are Paradoxx Detox Hair Mask</strong>—the deep-conditioning dream your hair has been waiting for! This lightweight yet ultra-nourishing formula works its magic to <strong>restore natural oils</strong>, <strong>soften stressed-out strands</strong>, and <strong>bring back the shine</strong> in just one use.</h5>
<h5 style=""text-align: center;"">💆‍♀️ <strong>Silky, Strong &amp; Oh-So-Soft</strong><br>Packed with <strong>provitamin B-5</strong>, this powerhouse mask boosts radiance, leaving your hair looking <strong>healthier, shinier, and full of life</strong>. Say goodbye to <strong>brittleness and split ends</strong> with the help of vegan keratin, which strengthens strands and smooths out rough texture.</h5>
<h5 style=""text-align: center;"">🥥 <strong>Coconut-Powered Goodness</strong><br>Infused with <strong>coconut oil</strong>, this hair-loving formula supports your <strong>hair’s natural protein structure</strong>, keeping it <strong>hydrated, happy, and frizz-free</strong>.</h5>
<h5 style=""text-align: center;"">💚 <strong>100% Vegan &amp; Clean Beauty Approved</strong><br>No nasties, just pure plant-powered perfection.</h5>
<h5 style=""text-align: center;"">
<strong>Hit reset on your hair with the Detox Hair Mask—because your strands deserve a fresh start!</strong> 🌿</h5>",Default Title,Title,Default Title,72835330310517,https://cdn.shopify.com/s/files/1/0757/4775/4301/files/IMG_0703.jpg?v=1738320929
14892790317429,Cuba Libre Gummies,sweets,2025-01-30T21:31:58Z,54962402197877,2.99,4,2025-01-30T21:23:51Z,2025-01-30T21:23:50Z,"<h5 style=""text-align: center;"">Say hello to your new favourite sweet treat—<strong>Cuba Libre Gummies!</strong> Inspired by the classic rum &amp; cola cocktail, these deliciously chewy gummies pack a punch of bold, refreshing flavour with a zesty lime twist. No need for a glass—just pop, chew, and enjoy!</h5>
<h5 style=""text-align: center;"">📦 <strong>Storage:</strong> Keep these cocktail-inspired delights in a <strong>cool, dry place</strong>, away from direct sunlight (because even gummies need shade sometimes!).</h5>
<h5 style=""text-align: center;"">🇬🇧 <strong>Made in the UK:</strong> Each pack is perfectly sized at <strong>14cm height x 9.5cm width</strong> and weighs <strong>50g</strong>—ideal for on-the-go snacking, gifting, or simply treating yourself.</h5>
<h5 style=""text-align: center;"">🌱 <strong>Why is this product Carbon Neutral Friendly?</strong><br>Because sweet treats should be guilt-free in more ways than one! These gummies are made using <strong>clean energy</strong>, ensuring <strong>zero negative environmental impact</strong>—no CO2, no unnecessary waste, just pure, planet-friendly indulgence. 🌍💚</h5>
<h5 style=""text-align: center;"">So go ahead—<strong>sip, chew, and savour the Cuba Libre experience in gummy form!</strong> 🥤🍬</h5>",Default Title,Title,Default Title,72832208830837,https://cdn.shopify.com/s/files/1/0757/4775/4301/files/IMG_0645.jpg?v=1738272460
14892788711797,'You Are My Favorite Person' Coaster,coaster,2025-01-30T21:21:32Z,54962396496245,5.99,0,2025-01-30T21:19:12Z,2025-01-30T21:19:12Z,"<h5>Let your favorite person know just how much they mean to you with our <strong>Pink ""You Are My Favorite Person"" Cork-Backed Coaster</strong>! 💖✨ The perfect little reminder of love, friendship, and appreciation—whether it’s for your bestie, partner, sibling, or even yourself (because self-love is important too!).</h5>
<h5>At <strong>9x9cm</strong>, this coaster is just the right size to hold your <strong>morning coffee, evening tea, or cheeky cocktail</strong> while adding a touch of sweetness to your space. The <strong>cork backing</strong> ensures your surfaces stay safe from heat, spills, and scratches—so you can sip in style without the worry.</h5>
<h5>With its <strong>adorable pink design</strong> and heartfelt message, it makes a <strong>thoughtful gift</strong> for birthdays, anniversaries, Valentine’s, Galentine’s, or just a random Tuesday when you want to spread some love. 💕 Pair it with a matching mug for the ultimate cozy vibes!</h5>
<h5>Because let’s be real—everyone deserves a daily dose of <strong>warmth, love, and a cute coaster to brighten their day!</strong> ☕💗</h5>",Default Title,Title,Default Title,72832187433333,https://cdn.shopify.com/s/files/1/0757/4775/4301/files/IMG_0572.jpg?v=1738272067
14892727599477,Galentines Gang Coaster,coaster,2025-01-30T17:47:43Z,54962054398325,5.99,4,2025-01-30T17:45:18Z,2025-01-30T17:45:18Z,"<p>Calling all Galentines! 💖✨ Celebrate friendship in style with our <strong>Pink Galentines Gang Cork-Backed Coaster</strong>—the perfect addition to your girls' night, coffee catch-ups, or self-care evenings.</p>
<p>Designed to <strong>match our Galentines Gang Mug</strong>, this <strong>9x9cm</strong> coaster is here to add a touch of fun, flair, and fabulousness to your table. The sleek, smooth surface is ideal for holding your fave drinks—whether it’s a steaming latte, a cheeky cocktail, or a classic cup of tea.</p>
<p>Not only is it <strong>super cute</strong>, but it’s also practical! With its <strong>cork backing</strong>, it helps protect your surfaces from heat, spills, and scratches—because no one wants a messy table when you're serving up those Galentine’s Day vibes!</p>
<p>Whether you're celebrating <strong>Galentine’s Day, birthdays, or just because</strong>—this coaster is the perfect little treat for you and your besties. Grab one (or a whole set!) and let the girl gang energy shine! 💕</p>",Default Title,Title,Default Title,72831265735029,https://cdn.shopify.com/s/files/1/0757/4775/4301/files/IMG_9917_1_a1fc377f-2b6c-44b6-824c-4d66c043ec46.jpg?v=1738259203
14892725371253,Italian Spritz Gummies,sweets,2025-01-30T17:41:57Z,54962040177013,2.99,4,2025-01-30T17:37:44Z,2025-01-30T17:37:44Z,"<h5 style=""text-align: center;"">Keep it cool and dry, away from that pesky sunlight, and these gummies will stay as fresh as an Italian summer!</h5>
<h5 style=""text-align: center;"">
<strong>Made in the UK</strong> with love and a whole lot of zest.</h5>
<h5 style=""text-align: center;"">
<strong>Size matters?</strong> These little delights stand at 14cm tall and 9.5cm wide, weighing in at a perfectly snackable 50g.</h5>
<h5 style=""text-align: center;"">Now, let’s talk flavour – <strong>Italian Spritz Gummies</strong> are bursting with the bold and refreshing taste of a classic Italian aperitif. Think zesty orange with a cheeky hint of bitter botanicals, transporting you straight to a sun-soaked terrace in Italy.</h5>
<h5 style=""text-align: center;"">Oh, and did we mention? They’re <strong>gluten-free, dairy-free, palm oil-free, and carbon neutral</strong>, so you can snack with zero guilt and maximum joy!</h5>
<h5 style=""text-align: center;"">Each gummy is crafted with <strong>natural ingredients</strong>, delivering a premium, sophisticated taste that’s perfect for treating yourself or impressing someone special. Whether it’s a gift for a foodie friend or just a luxurious little pick-me-up, these gummies don’t disappoint.</h5>
<h5 style=""text-align: center;"">
<strong>Eco-friendly &amp; guilt-free!</strong> Made using <strong>clean energy</strong>, meaning no nasty carbon emissions. That’s right—these gummies are <strong>carbon-neutral and delicious</strong>. Who knew doing good for the planet could taste this amazing? 🍊✨</h5>",Default Title,Title,Default Title,72831804539253,https://cdn.shopify.com/s/files/1/0757/4775/4301/files/7458927E-AFD3-43F5-BBB3-8D1A803D689E.jpg?v=1738267027
14891979309429,Joe & Seph's Caramel & White Choolate Popcorn,sweets,2025-01-29T12:30:14Z,54958717370741,2.99,4,2025-01-29T12:28:07Z,2025-01-29T12:28:07Z,"<h5>Get ready to pop into pure indulgence with our <strong>Caramel &amp; White Chocolate Popcorn</strong>! 🍿✨ Handcrafted in London with the finest ingredients, every crunchy kernel is lovingly coated in rich, buttery caramel and finished with a dreamy drizzle of velvety white chocolate. The result? A luxurious, melt-in-your-mouth treat that’s sweet, smooth, and utterly irresistible.</h5>
<h5>Perfect for movie nights, snack attacks, or when you just need a little moment of sweet, crunchy bliss. One bite and you'll be hooked—consider yourself warned! 😍</h5>
<h5>Perfect for movie nights, afternoon snacking, or whenever you fancy a little taste of summer! ☀️</h5>
<h5><strong>Nutritional Info (Per 100g):</strong></h5>
<h5>
<strong>Energy:</strong> 1958KJ / 470Kcal, <strong>Fat:</strong> 27g (of which saturates: 17g), <strong>Carbohydrates:</strong> 57.7g (of which sugars: 35g), <strong>Protein:</strong> 3.4g, <strong>Salt:</strong> 0.57g</h5>
<h5>Ingredients: Corn, Butter (Milk), Sugar, White Chocolate (16%) {Sugar (46.5%), Cocoa Butter (29.5%), Whole Milk Powder (23.5%), Soya Lecithin, Natural Vanilla}, Corn Syrup.</h5>
<h5>Allergy Information: For allergens, please refer to ingredients in bold italics. Made in an environment where nuts, peanuts, and sesame seeds are present.</h5>
<h5>⚠️ <strong>Allergen Advice:</strong> For allergens, see ingredients in <strong>bold italic</strong>. Made in an environment where <strong>nuts, peanuts, and sesame seeds</strong> are present.</h5>
<h5>🥤 <strong>Pairs perfectly with a cup of tea, a glass of bubbly, or a lazy Sunday afternoon!</strong>
</h5>",Default Title,Title,Default Title,72821601894773,https://cdn.shopify.com/s/files/1/0757/4775/4301/files/IMG_0106.jpg?v=1738153724
14891972690293,Joe & Seph's Strawberries & Cream Popcorn,sweets,2025-01-29T12:15:30Z,54958674116981,2.99,4,2025-01-29T12:07:35Z,2025-01-29T12:07:35Z,"<h5>Who needs Wimbledon when you can enjoy the <em>dreamiest</em> British classic in popcorn form? 🍓☁️ We’ve taken our <strong>air-popped, crunchy popcorn</strong> and coated it in <strong>buttery caramel, real double cream, and juicy dried strawberries</strong> for the ultimate strawberries &amp; cream experience!</h5>
<h5>🍓 <strong>A berry sweet treat with a creamy twist</strong><br>🌱 <strong>Vegan &amp; dairy-free recipe (but still indulgently creamy!)</strong><br>✨ <strong>Gluten-free &amp; suitable for vegetarians</strong><br>💛 <strong>Light, crispy, and packed with flavour</strong>
</h5>
<h5>Perfect for movie nights, afternoon snacking, or whenever you fancy a little taste of summer! ☀️</h5>
<h5><strong>Nutritional Info (Per 100g):</strong></h5>
<h5>
<strong>Energy:</strong> 1958KJ / 470Kcal, <strong>Fat:</strong> 27g (of which saturates: 17g), <strong>Carbohydrates:</strong> 57.7g (of which sugars: 35g), <strong>Protein:</strong> 3.4g, <strong>Salt:</strong> 0.57g</h5>
<h5><strong>Ingredients:</strong></h5>
<h5>Corn, Sugar, Butter (<em>Milk</em>), Corn Syrup, Double Cream (<em>Milk</em>) (9%), Dried Strawberry (2%), Natural Strawberry Flavour, Salt.</h5>
<h5>⚠️ <strong>Allergen Advice:</strong> For allergens, see ingredients in <strong>bold italic</strong>. Made in an environment where <strong>nuts, peanuts, and sesame seeds</strong> are present.</h5>
<h5>🥤 <strong>Pairs perfectly with a cup of tea, a glass of bubbly, or a lazy Sunday afternoon!</strong>
</h5>",Default Title,Title,Default Title,72821542224245,https://cdn.shopify.com/s/files/1/0757/4775/4301/files/IMG_0105_6502e9f6-b1dd-43c4-8f2c-4656443608c5.jpg?v=1738152831
14891956175221,Oh So Cheesy Pretzel Thins,,2025-01-29T11:40:10Z,54958630142325,1.99,10,2025-01-29T11:38:44Z,2025-01-29T11:38:44Z,"<h5>Say <strong>cheeeeeese</strong> to the <strong>oll-timate</strong> crispy, cheesy snack sensation! We’ve taken the rich, indulgent taste of cheese and combined it with our <strong>light, oven-baked pretzel thins</strong>—the perfect balance of crunch and flavour in every bite.</h5>
<h5>🧀 <strong>Bold, cheesy flavour without the greasy fingers</strong><br>🔥 <strong>Less fat &amp; fewer calories than crisps &amp; popcorn</strong><br>🌱 <strong>100% vegan-friendly (yes, really—cheese without the dairy!)</strong><br>💛 <strong>Ridiculously crunchy &amp; totally snackable</strong>
</h5>
<h5>Perfect for cheese lovers, snack fanatics, and anyone looking for a <strong>guilt-free</strong> way to get their crispy, cheesy fix!</h5>
<h5>🥨 <strong>The planet’s thinnest &amp; crispiest pretzels!</strong><br>Oven-baked to perfection (never fried), our pretzel thins deliver a deliciously golden crunch with less fat &amp; fewer calories than crisps, popcorn, and even rice cakes!</h5>
<h5>🔥 <strong>Less than 130 calories per pack</strong><br>🌱 <strong>Vegan-friendly &amp; packed with plant-based goodness</strong><br>😋 <strong>Less fat &amp; fewer calories than crisps &amp; popcorn</strong>
</h5>
<h5>Whether you’re munching straight from the bag, pairing them with your favourite dips, or levelling up your cheese board, these sesame-studded beauties are the snack you never knew you needed!</h5>
<h5><strong>Nutritional Info (Per 35g Pack):</strong></h5>
<h5>
<strong>Energy:</strong> 501KJ / 119Kcal, <strong>Fat:</strong> 2.4g (of which saturates: 0.3g), <strong>Carbohydrates:</strong> 21.1g (of which sugars: 0.6g), <strong>Fibre:</strong> 1.3g, <strong>Protein:</strong> 4.5g, <strong>Salt:</strong> 0.5g</h5>
<h5><strong><span style=""text-decoration: underline;"">Ingredients</span>:</strong></h5>
<h5>Wheat Flour, Water, Sunflower Oil, Sugar, Barley Malt Extract, White &amp; Black Sesame, Salt, Soya Lecithin, Sodium Bicarbonate.</h5>
<h5>⚠️ <strong>Allergen Advice:</strong> For allergens, see ingredients in <strong>bold</strong>. Produced in a factory that handles <strong>Sesame</strong>.</h5>",Default Title,Title,Default Title,72831216714101,https://cdn.shopify.com/s/files/1/0757/4775/4301/files/IMG_0595.jpg?v=1738258293
14891954569589,Sour Cream & Onion Pretzel Thins,,2025-01-29T11:38:06Z,54958619591029,1.99,10,2025-01-29T11:32:55Z,2025-01-29T11:32:55Z,"<h5>The <strong>ultimate</strong> snack-time classic—<strong>but better!</strong> We've taken the rich, tangy flavour of sour cream &amp; onion and paired it with our golden, oven-baked pretzel thins for a lighter, crunchier, and all-round more satisfying snack.</h5>
<h5>🥨 <strong>The planet’s thinnest &amp; crispiest pretzels!</strong><br>Oven-baked to perfection (never fried), our pretzel thins deliver a deliciously golden crunch with less fat &amp; fewer calories than crisps, popcorn, and even rice cakes!</h5>
<h5>🔥 <strong>Less than 130 calories per pack</strong><br>🌱 <strong>Vegan-friendly &amp; packed with plant-based goodness</strong><br>😋 <strong>Less fat &amp; fewer calories than crisps &amp; popcorn</strong>
</h5>
<h5>Whether you’re munching straight from the bag, pairing them with your favourite dips, or levelling up your cheese board, these sesame-studded beauties are the snack you never knew you needed!</h5>
<h5><strong>Nutritional Info (Per 35g Pack):</strong></h5>
<h5>
<strong>Energy:</strong> 501KJ / 119Kcal</h5>
<h5>
<strong>Fat:</strong> 2.4g (of which saturates: 0.3g)</h5>
<h5>
<strong>Carbohydrates:</strong> 21.1g (of which sugars: 0.6g)</h5>
<h5>
<strong>Fibre:</strong> 1.3g</h5>
<h5>
<strong>Protein:</strong> 4.5g</h5>
<h5>
<strong>Salt:</strong> 0.5g</h5>
<h5><strong><span style=""text-decoration: underline;"">Ingredients</span>:</strong></h5>
<h5>Wheat Flour, Water, Sunflower Oil, Sugar, Barley Malt Extract, White &amp; Black Sesame, Salt, Soya Lecithin, Sodium Bicarbonate.</h5>
<h5>⚠️ <strong>Allergen Advice:</strong> For allergens, see ingredients in <strong>bold</strong>. Produced in a factory that handles <strong>Sesame</strong>.</h5>",Default Title,Title,Default Title,72831220449653,https://cdn.shopify.com/s/files/1/0757/4775/4301/files/IMG_0600.jpg?v=1738258371
14891949261173,Multi-Seed Sesame Pretzel Thins,pretzels,2025-01-29T11:29:25Z,54958603272565,1.99,10,2025-01-29T11:20:10Z,2025-01-29T11:20:09Z,"<h5>
<strong>Open sesame!</strong> Dressed to impress in black &amp; white sesame seeds, these oven-baked pretzel thins are a game-changer in the snack world. Light, crispy, and packed with nutty flavour, they’re here to shake up your snack stash in the best way possible!</h5>
<h5>🥨 <strong>The planet’s thinnest &amp; crispiest pretzels!</strong><br>Oven-baked to perfection (never fried), our pretzel thins deliver a deliciously golden crunch with less fat &amp; fewer calories than crisps, popcorn, and even rice cakes!</h5>
<h5>🔥 <strong>Less than 130 calories per pack</strong><br>🌱 <strong>Vegan-friendly &amp; packed with plant-based goodness</strong><br>😋 <strong>Less fat &amp; fewer calories than crisps &amp; popcorn</strong>
</h5>
<h5>Whether you’re munching straight from the bag, pairing them with your favourite dips, or levelling up your cheese board, these sesame-studded beauties are the snack you never knew you needed!</h5>
<h5><strong>Nutritional Info (Per 35g Pack):</strong></h5>
<h5>
<strong>Energy:</strong> 501KJ / 119Kcal</h5>
<h5>
<strong>Fat:</strong> 2.4g (of which saturates: 0.3g)</h5>
<h5>
<strong>Carbohydrates:</strong> 21.1g (of which sugars: 0.6g)</h5>
<h5>
<strong>Fibre:</strong> 1.3g</h5>
<h5>
<strong>Protein:</strong> 4.5g</h5>
<h5>
<strong>Salt:</strong> 0.5g</h5>
<h5><strong><span style=""text-decoration: underline;"">Ingredients</span>:</strong></h5>
<h5>Wheat Flour, Water, Sunflower Oil, Sugar, Barley Malt Extract, White &amp; Black Sesame, Salt, Soya Lecithin, Sodium Bicarbonate.</h5>
<h5>⚠️ <strong>Allergen Advice:</strong> For allergens, see ingredients in <strong>bold</strong>. Produced in a factory that handles <strong>Sesame</strong>.</h5>",Default Title,Title,Default Title,72831214322037,https://cdn.shopify.com/s/files/1/0757/4775/4301/files/IMG_0574.jpg?v=1738258268
