category,Event,Customer_IP,Event_Time,Product_ID,Quantity,Collection_Name,Search_Term,Time_On_Page,Product_Name,session,Customer_ID,Customer_Name
Engagement,Cart Add,14.96.104.137,2025-01-24 07:23:22.254000+00:00,7602324013137.0,1.0,,,,Gift Box,1,,
Engagement,Home,14.96.104.137,2025-01-24 10:21:27.238000+00:00,,,,,108.726,,2,,
Engagement,Cart Add,14.96.104.137,2025-01-24 10:34:45.172000+00:00,7602324013137.0,1.0,,,,Gift Box,2,,
Engagement,Home,14.96.104.137,2025-01-24 11:19:20.484000+00:00,,,,,2.843,,2,,
Engagement,Product,14.96.104.137,2025-01-24 11:19:42.117000+00:00,4455131381841.0,,,,20.733,state necklace,2,,
Engagement,Cart,14.96.104.137,2025-01-24 11:53:13.101000+00:00,,,,,86.618,,2,,
Engagement,Cart Add,14.96.104.137,2025-01-24 11:53:41.023000+00:00,7719898415185.0,1.0,,,,Garden Trowel,2,,
Engagement,Cart Add,14.96.104.137,2025-01-27 06:31:59.465000+00:00,7602324013137.0,1.0,,,,Gift Box,3,,
Engagement,Cart,14.96.104.137,2025-01-27 06:31:59.772000+00:00,,,,,7.833,,3,,
Engagement,Collection,14.96.104.137,2025-01-27 06:46:14.546000+00:00,,,man,,0.661,,3,,
Engagement,Cart Add,14.96.104.137,2025-01-27 09:53:05.663000+00:00,7719689584721.0,1.0,,,,Rubber plant,4,,
Engagement,Cart Update,14.96.104.137,2025-01-27 09:53:05.664000+00:00,7719898415185.0,1.0,,,,Garden Trowel,4,,
Engagement,Cart,80.79.148.152,2025-01-24 11:57:48.565000+00:00,,,,,4.894,,1,,
Engagement,Cart,80.79.148.152,2025-01-24 11:57:56.034000+00:00,,,,,6.832,,1,,
Engagement,Product,80.79.148.152,2025-01-24 11:58:03.917000+00:00,7602211979345.0,,,,6.153,10club red metal vase elegant flower vase for home decor durable metal h 17 5 cm 600 gram 1pc without flower red color,1,,
Engagement,Home,80.79.148.152,2025-01-24 11:58:10.221000+00:00,,,,,5.806,,1,,
Engagement,Collection,80.79.148.152,2025-01-24 11:58:16.802000+00:00,,,accessories,,3.128,,1,,
