Product_ID,Product_Title,Product_Type,Product_Published_At,Product_Variant_Id,Variant_Price,Variant_Inventory_Quantity,Variant_Created_At,Product_Created_At,Body_Html,Variant_Title,Option_Names,Option_Values,Image_Ids,Image_Sources
7721822748753,Name Customised Mug,,2025-01-30T11:58:13Z,42193294262353,400.0,99,2025-01-30T11:58:14Z,2025-01-30T11:58:13Z,<p><span>These are Unbreakable and designed to make your Coffee/tea love flourish.</span></p>,Gold,Color,Gold,35029624979537,https://cdn.shopify.com/s/files/1/0098/4406/4337/files/blackmugsingle_1024x1024_2x_af3f6588-d70c-4199-a8fe-d13fa8f660fc.jpg?v=1738238241
7721822748753,Name Customised Mug,,2025-01-30T11:58:13Z,42193294295121,400.0,99,2025-01-30T11:58:14Z,2025-01-30T11:58:13Z,<p><span>These are Unbreakable and designed to make your Coffee/tea love flourish.</span></p>,Rose gold,Color,Gold,35029624979537,https://cdn.shopify.com/s/files/1/0098/4406/4337/files/blackmugsingle_1024x1024_2x_af3f6588-d70c-4199-a8fe-d13fa8f660fc.jpg?v=1738238241
7721822748753,Name Customised Mug,,2025-01-30T11:58:13Z,42193294327889,400.0,99,2025-01-30T11:58:14Z,2025-01-30T11:58:13Z,<p><span>These are Unbreakable and designed to make your Coffee/tea love flourish.</span></p>,Silver,Color,Gold,35029624979537,https://cdn.shopify.com/s/files/1/0098/4406/4337/files/blackmugsingle_1024x1024_2x_af3f6588-d70c-4199-a8fe-d13fa8f660fc.jpg?v=1738238241
7721822748753,Name Customised Mug,,2025-01-30T11:58:13Z,42193294360657,400.0,99,2025-01-30T11:58:14Z,2025-01-30T11:58:13Z,<p><span>These are Unbreakable and designed to make your Coffee/tea love flourish.</span></p>,White,Color,Gold,35029624979537,https://cdn.shopify.com/s/files/1/0098/4406/4337/files/blackmugsingle_1024x1024_2x_af3f6588-d70c-4199-a8fe-d13fa8f660fc.jpg?v=1738238241
7721822748753,Name Customised Mug,,2025-01-30T11:58:13Z,42193294393425,400.0,99,2025-01-30T11:58:14Z,2025-01-30T11:58:13Z,<p><span>These are Unbreakable and designed to make your Coffee/tea love flourish.</span></p>,Black,Color,Gold,35029624979537,https://cdn.shopify.com/s/files/1/0098/4406/4337/files/blackmugsingle_1024x1024_2x_af3f6588-d70c-4199-a8fe-d13fa8f660fc.jpg?v=1738238241
7721821274193,Name Mug Personalized,,2025-01-30T11:49:25Z,42193285251153,230.0,99,2025-01-30T11:49:26Z,2025-01-30T11:49:25Z,<p>Tea Mug/Beverage Mug with Handle</p>,Default Title,Title,Default Title,35029604761681,https://cdn.shopify.com/s/files/1/0098/4406/4337/files/51VHWPhDCxL.jpg?v=1738237720
7721820389457,Photo Mug Personalised,,2025-01-30T11:44:55Z,42193325064273,270.0,99,2025-01-30T12:08:43Z,2025-01-30T11:44:55Z,<p>Photos Printed Ceramic Coffee Mug</p>,White,Color,White,35029595422801,https://cdn.shopify.com/s/files/1/0098/4406/4337/files/71PutR8oodS._SL1500.jpg?v=1738237386
7721820389457,Photo Mug Personalised,,2025-01-30T11:44:55Z,42193278271569,270.0,99,2025-01-30T11:44:57Z,2025-01-30T11:44:55Z,<p>Photos Printed Ceramic Coffee Mug</p>,Red,Color,White,35029595422801,https://cdn.shopify.com/s/files/1/0098/4406/4337/files/71PutR8oodS._SL1500.jpg?v=1738237386
7721820389457,Photo Mug Personalised,,2025-01-30T11:44:55Z,42193278304337,270.0,99,2025-01-30T11:44:57Z,2025-01-30T11:44:55Z,<p>Photos Printed Ceramic Coffee Mug</p>,Pink,Color,White,35029595422801,https://cdn.shopify.com/s/files/1/0098/4406/4337/files/71PutR8oodS._SL1500.jpg?v=1738237386
7721820389457,Photo Mug Personalised,,2025-01-30T11:44:55Z,42193278337105,270.0,99,2025-01-30T11:44:57Z,2025-01-30T11:44:55Z,<p>Photos Printed Ceramic Coffee Mug</p>,Beige,Color,White,35029595422801,https://cdn.shopify.com/s/files/1/0098/4406/4337/files/71PutR8oodS._SL1500.jpg?v=1738237386
7721819308113,Personalized Picture Perfect Love Mugs,,2025-01-30T11:33:37Z,42193274929233,345.0,99,2025-01-30T11:33:38Z,2025-01-30T11:33:37Z,"<p><span> These durable ceramic mugs are ideal for enjoying coffee, tea, or hot chocolate</span></p>",Default Title,Title,Default Title,35029558493265,https://cdn.shopify.com/s/files/1/0098/4406/4337/files/p-valentine-s-day-personalized-picture-perfect-love-mugs-set-of-2-395410-3.webp?v=1738236531
7721816457297,Photo Mug Personalised,,2025-01-30T11:26:24Z,42193270341713,250.0,99,2025-01-30T11:26:25Z,2025-01-30T11:26:24Z,"<p><span>High-quality personalised mug with a inner and handle that can be designed with your choice of backgrounds, picture and text. </span></p>",Default Title,Title,Default Title,35029555576913,https://cdn.shopify.com/s/files/1/0098/4406/4337/files/id2381-1.jpg?v=1738236340
7721814425681,Personalised Insulated Travel Tumbler,,2025-01-30T10:28:26Z,42193256382545,1780.0,99,2025-01-30T10:28:27Z,2025-01-30T10:28:26Z,<p><span>Eco-conscious Travel Tumbler</span></p>,Black,Color,Black,35029504098385,https://cdn.shopify.com/s/files/1/0098/4406/4337/files/Olive_1_700x_c4676b30-ecff-42d9-8d4a-982215f0bd8e.jpg?v=1738232719
7721814425681,Personalised Insulated Travel Tumbler,,2025-01-30T10:28:26Z,42193256415313,1780.0,99,2025-01-30T10:28:27Z,2025-01-30T10:28:26Z,<p><span>Eco-conscious Travel Tumbler</span></p>,Beige,Color,Black,35029504098385,https://cdn.shopify.com/s/files/1/0098/4406/4337/files/Olive_1_700x_c4676b30-ecff-42d9-8d4a-982215f0bd8e.jpg?v=1738232719
7721814425681,Personalised Insulated Travel Tumbler,,2025-01-30T10:28:26Z,42193256448081,1780.0,99,2025-01-30T10:28:27Z,2025-01-30T10:28:26Z,<p><span>Eco-conscious Travel Tumbler</span></p>,Gray,Color,Black,35029504098385,https://cdn.shopify.com/s/files/1/0098/4406/4337/files/Olive_1_700x_c4676b30-ecff-42d9-8d4a-982215f0bd8e.jpg?v=1738232719
7721813737553,Personalized Temperature Tumbler,,2025-01-30T10:19:13Z,42193253761105,845.0,99,2025-01-30T10:19:14Z,2025-01-30T10:19:13Z,"<p><span>It is perfect for keeping your favourite beverages like tea, coffee, protein shakes, warm or cold for longer.</span></p>",White,Color,White,35029492858961,https://cdn.shopify.com/s/files/1/0098/4406/4337/files/DSC08761-min_160x_b1d60e1d-36a1-4e07-be1d-cb5cbdd3d0db.jpg?v=1738232300
7721813737553,Personalized Temperature Tumbler,,2025-01-30T10:19:13Z,42193253793873,900.0,99,2025-01-30T10:19:14Z,2025-01-30T10:19:13Z,"<p><span>It is perfect for keeping your favourite beverages like tea, coffee, protein shakes, warm or cold for longer.</span></p>",Black,Color,White,35029492858961,https://cdn.shopify.com/s/files/1/0098/4406/4337/files/DSC08761-min_160x_b1d60e1d-36a1-4e07-be1d-cb5cbdd3d0db.jpg?v=1738232300
7721813409873,Personalized Thirst Trap Tumbler,,2025-01-30T10:15:37Z,42193250320465,1700.0,99,2025-01-30T10:15:38Z,2025-01-30T10:15:37Z,"<p><span>Whether it's a steaming hot tea for your morning commute or a crisp cold coffee on a sunny afternoon, our tumbler with straw ensures your drink stays at the perfect temperature for longer, without any spillage as it is leak proof.</span></p>",Pink,Color,Pink,35029479784529,https://cdn.shopify.com/s/files/1/0098/4406/4337/files/Personalized_Thirst_Trap_Tumbler_-_COD_Not_Applicable_9_1800x1800_ad75c767-0259-44d2-8903-39e221c74e76.jpg?v=1738232021
