category,Event,Customer_IP,Event_Time,Product_ID,Quantity,Collection_Name,Search_Term,Time_On_Page,Product_Name,session,Customer_ID,Customer_Name
Engagement,Home,120.72.95.90,2025-01-24 07:34:43.130000+00:00,,,,,883.894,,1,,
Engagement,Home,120.72.95.90,2025-01-24 07:42:36.524000+00:00,,,,,467.529,,1,,
Engagement,Home,120.72.95.90,2025-01-24 09:31:34.497000+00:00,,,,,6535.603,,2,,
Engagement,Home,120.72.95.90,2025-01-24 09:31:34.881000+00:00,,,,,0.799,,2,,
Engagement,Home,120.72.95.90,2025-01-24 09:33:48.299000+00:00,,,,,127.221,,2,,
Engagement,Home,120.72.95.90,2025-01-24 09:46:37.468000+00:00,,,,,766.698,,2,,
Engagement,Home,120.72.95.90,2025-01-24 09:47:12.297000+00:00,,,,,30.802,,2,,
Engagement,Home,120.72.95.90,2025-01-24 09:59:45.620000+00:00,,,,,329.732,,2,,
Engagement,Home,120.72.95.90,2025-01-24 10:02:35.333000+00:00,,,,,149.225,,2,,
Engagement,Home,120.72.95.90,2025-01-24 10:09:59.813000+00:00,,,,,27.964,,2,,
Engagement,Home,120.72.95.90,2025-01-24 10:10:58.441000+00:00,,,,,36.295,,2,,
Engagement,Home,120.72.95.90,2025-01-24 10:11:34.988000+00:00,,,,,36.987,,2,,
Engagement,Home,120.72.95.90,2025-01-24 10:15:59.288000+00:00,,,,,262.021,,2,,
Engagement,Home,120.72.95.90,2025-01-24 10:16:49.959000+00:00,,,,,45.489,,2,,
Engagement,Home,120.72.95.90,2025-01-24 10:23:57.011000+00:00,,,,,1.66,,2,,
Engagement,Home,120.72.95.90,2025-01-24 10:34:11.330000+00:00,,,,,173.711,,2,,
Engagement,Home,120.72.95.90,2025-01-24 10:38:12.324000+00:00,,,,,238.172,,2,,
Engagement,Home,120.72.95.90,2025-01-24 10:45:08.454000+00:00,,,,,37.261,,2,,
Engagement,Home,120.72.95.90,2025-01-24 10:55:10.461000+00:00,,,,,599.228,,2,,
Engagement,Home,120.72.95.90,2025-01-24 11:02:16.931000+00:00,,,,,424.815,,2,,
Engagement,Home,120.72.95.90,2025-01-24 11:07:20.140000+00:00,,,,,60.342,,2,,
Engagement,Home,120.72.95.90,2025-01-24 11:13:09.862000+00:00,,,,,43.033,,2,,
Engagement,Home,120.72.95.90,2025-01-24 11:15:11.286000+00:00,,,,,94.22,,2,,
Engagement,Home,120.72.95.90,2025-01-24 11:35:49.258000+00:00,,,,,781.517,,2,,
Engagement,Home,120.72.95.90,2025-01-24 11:39:34.940000+00:00,,,,,104.238,,2,,
Engagement,Home,120.72.95.90,2025-01-24 11:47:59.918000+00:00,,,,,67.488,,2,,
Engagement,Home,120.72.95.90,2025-01-24 11:48:59.628000+00:00,,,,,261.994,,2,,
Engagement,Home,120.72.95.90,2025-01-24 11:51:07.146000+00:00,,,,,7.637,,2,,
Engagement,Cart,120.72.95.90,2025-01-24 11:51:10.975000+00:00,,,,,2.373,,2,,
Engagement,Home,120.72.95.90,2025-01-24 11:59:45.580000+00:00,,,,,46.325,,2,,
Engagement,Home,120.72.95.90,2025-01-24 12:24:21.346000+00:00,,,,,208.699,,2,,
Engagement,Home,120.72.95.90,2025-01-24 12:33:19.291000+00:00,,,,,63.642,,2,,
Engagement,Home,120.72.95.90,2025-01-24 12:59:10.564000+00:00,,,,,504.889,,2,,
Engagement,Home,120.72.95.90,2025-01-24 13:01:47.471000+00:00,,,,,155.042,,2,,
Engagement,Home,120.72.95.90,2025-01-24 13:03:36.096000+00:00,,,,,104.078,,2,,
Engagement,Home,120.72.95.90,2025-01-24 13:05:38.835000+00:00,,,,,42.37,,2,,
Engagement,Home,120.72.95.90,2025-01-24 13:09:11.603000+00:00,,,,,77.034,,2,,
Engagement,Home,120.72.95.90,2025-01-24 13:13:54.763000+00:00,,,,,30.209,,2,,
Engagement,Home,120.72.95.90,2025-01-24 13:15:01.638000+00:00,,,,,65.042,,2,,
Engagement,Home,120.72.95.90,2025-01-24 13:15:41.476000+00:00,,,,,37.526,,2,,
Engagement,Home,120.72.95.90,2025-01-24 13:15:54.169000+00:00,,,,,10.064,,2,,
Engagement,Home,120.72.95.90,2025-01-24 13:17:14.177000+00:00,,,,,78.313,,2,,
Engagement,Home,120.72.95.90,2025-01-24 13:18:31.904000+00:00,,,,,75.383,,2,,
Engagement,Home,120.72.95.90,2025-01-24 13:19:48.389000+00:00,,,,,73.361,,2,,
Engagement,Home,120.72.95.90,2025-01-24 13:20:16.078000+00:00,,,,,25.426,,2,,
Engagement,Home,120.72.95.90,2025-01-24 13:28:44.030000+00:00,,,,,396.578,,2,,
Engagement,Home,120.72.95.90,2025-01-24 13:49:05.696000+00:00,,,,,1218.77,,2,,
Engagement,Home,120.72.95.90,2025-01-24 13:59:19.336000+00:00,,,,,583.692,,2,,
Engagement,Home,120.72.95.90,2025-01-24 14:00:21.559000+00:00,,,,,58.272,,2,,
Engagement,Home,120.72.95.90,2025-01-24 14:02:02.088000+00:00,,,,,43.91,,2,,
Engagement,Home,120.72.95.90,2025-01-24 14:05:04.302000+00:00,,,,,179.736,,2,,
Engagement,Home,120.72.95.90,2025-01-24 14:05:54.864000+00:00,,,,,48.545,,2,,
Engagement,Home,120.72.95.90,2025-01-24 14:08:31.028000+00:00,,,,,66.872,,2,,
Engagement,Home,120.72.95.90,2025-01-24 14:17:56.732000+00:00,,,,,149.052,,2,,
Engagement,Home,120.72.95.90,2025-01-24 14:18:40.169000+00:00,,,,,38.098,,2,,
Engagement,Home,120.72.95.90,2025-01-24 14:24:21.730000+00:00,,,,,338.207,,2,,
Engagement,Home,120.72.95.90,2025-01-24 14:24:58.378000+00:00,,,,,31.864,,2,,
Engagement,Home,120.72.95.90,2025-01-27 05:36:29.747000+00:00,,,,,1876.537,,3,,
Engagement,Home,120.72.95.90,2025-01-27 05:38:27.947000+00:00,,,,,114.944,,3,,
Engagement,Home,120.72.95.90,2025-01-27 05:46:42.477000+00:00,,,,,462.339,,3,,
Engagement,Home,120.72.95.90,2025-01-27 05:54:36.600000+00:00,,,,,8.128,,3,,
Engagement,Home,120.72.95.90,2025-01-27 05:56:10.106000+00:00,,,,,92.759,,3,,
Engagement,Home,120.72.95.90,2025-01-27 06:04:11.040000+00:00,,,,,478.069,,3,,
Engagement,Home,120.72.95.90,2025-01-27 06:10:23.791000+00:00,,,,,368.437,,3,,
Engagement,Home,120.72.95.90,2025-01-27 06:11:22.280000+00:00,,,,,23.239,,3,,
Engagement,Home,120.72.95.90,2025-01-27 06:12:33.351000+00:00,,,,,67.283,,3,,
Engagement,Home,120.72.95.90,2025-01-27 06:14:39.252000+00:00,,,,,124.224,,3,,
Engagement,Home,120.72.95.90,2025-01-27 06:25:49.431000+00:00,,,,,619.959,,3,,
Engagement,Home,120.72.95.90,2025-01-27 06:27:23.535000+00:00,,,,,89.782,,3,,
Engagement,Home,120.72.95.90,2025-01-27 06:29:45.392000+00:00,,,,,137.784,,3,,
Engagement,Home,120.72.95.90,2025-01-27 06:31:03.148000+00:00,,,,,75.145,,3,,
Engagement,Home,120.72.95.90,2025-01-27 06:36:56.053000+00:00,,,,,94.035,,3,,
Engagement,Home,120.72.95.90,2025-01-27 06:37:31.097000+00:00,,,,,30.448,,3,,
Engagement,Home,120.72.95.90,2025-01-27 06:38:29.232000+00:00,,,,,56.186,,3,,
Engagement,Home,120.72.95.90,2025-01-27 06:40:36.225000+00:00,,,,,74.722,,3,,
Engagement,Home,120.72.95.90,2025-01-27 06:43:04.570000+00:00,,,,,82.643,,3,,
Engagement,Home,120.72.95.90,2025-01-27 06:48:42.181000+00:00,,,,,260.442,,3,,
Engagement,Home,120.72.95.90,2025-01-27 06:55:34.107000+00:00,,,,,406.168,,3,,
Engagement,Home,120.72.95.90,2025-01-27 06:56:07.385000+00:00,,,,,30.034,,3,,
Engagement,Home,120.72.95.90,2025-01-27 07:03:53.802000+00:00,,,,,179.79,,3,,
Engagement,Home,120.72.95.90,2025-01-27 07:19:34+00:00,,,,,117.168,,3,,
Engagement,Home,120.72.95.90,2025-01-27 07:21:08.446000+00:00,,,,,90.854,,3,,
Engagement,Home,120.72.95.90,2025-01-27 07:22:11.681000+00:00,,,,,57.744,,3,,
Engagement,Home,120.72.95.90,2025-01-27 07:23:31.565000+00:00,,,,,76.871,,3,,
Engagement,Home,120.72.95.90,2025-01-27 07:23:56.942000+00:00,,,,,22.513,,3,,
Engagement,Home,120.72.95.90,2025-01-27 07:26:17.818000+00:00,,,,,137.873,,3,,
Engagement,Home,120.72.95.90,2025-01-27 07:26:44.183000+00:00,,,,,23.518,,3,,
