category,Event,Customer_IP,Event_Time,Product_ID,Quantity,Collection_Name,Search_Term,Time_On_Page,Product_Name,session
Engagement,Collection,1.39.135.57,2025-01-25 13:28:08.203000+00:00,,,hair-and-facial-tools,,13.704,,1
Engagement,Cart Add,103.143.147.231,2025-01-25 06:15:47.512000+00:00,7345030725699,1,,,,geranium essential oil deodorant,1
Engagement,Product,103.143.147.231,2025-01-25 06:15:47.718000+00:00,1725779607619,,,,11.259,geranium essential oil deodorant,1
Engagement,Product,103.143.147.231,2025-01-25 06:17:23.806000+00:00,1725639852099,,,,94.881,lavender essential oil deodorant,1
Engagement,Product,103.143.147.231,2025-01-25 06:20:06.846000+00:00,6740928102467,,,,3.171,timeless moisturizer,1
Engagement,Collection,103.143.147.231,2025-01-25 06:22:58.729000+00:00,,,body-care,,4.274,,1
Engagement,Collection,103.143.147.231,2025-01-25 06:23:02.692000+00:00,,,body-care,,0.399,,1
Engagement,Collection,103.143.147.231,2025-01-25 06:23:49.172000+00:00,,,body-care,,40.302,,1
Engagement,Product,103.143.147.231,2025-01-25 06:24:42.359000+00:00,7009802158147,,,,51.436,rejuvenating body mist,1
Engagement,Cart Add,103.143.147.231,2025-01-25 06:24:57.220000+00:00,6740928102467,1,,,,Timeless Moisturizer,1
Engagement,Collection,103.143.147.231,2025-01-25 06:25:06.302000+00:00,,,body-care,,22.698,,1
Engagement,Collection,103.143.147.231,2025-01-25 06:25:18.884000+00:00,,,body-care,,11.376,,1
Engagement,Collection,103.143.147.231,2025-01-25 06:28:13.489000+00:00,,,face-cleansers,,22.39,,1
Engagement,Cart,103.143.147.231,2025-01-25 06:34:47.274000+00:00,,,,,275.018,,1
Engagement,Cart Remove,103.143.147.231,2025-01-25 06:37:27.619000+00:00,6740928102467,,,,,Timeless Moisturizer,1
Engagement,Home,103.143.147.231,2025-01-25 06:41:11.936000+00:00,,,,,11.749,,1
Engagement,Home,103.143.147.235,2025-01-26 16:01:11.662000+00:00,,,,,7.424,,1
Engagement,Product,103.163.248.80,2025-01-26 08:26:51.208000+00:00,4362652549187,,,,5.956,kumkumadi oil,1
Engagement,Product,103.163.248.80,2025-01-26 08:26:52.835000+00:00,4362652549187,,,,1.975,kumkumadi oil,1
Engagement,Product,103.207.57.200,2025-01-27 07:43:30.727000+00:00,4362652549187,,,,2.867,kumkumadi oil,1
Engagement,Home,103.21.127.10,2025-01-27 05:10:56.286000+00:00,,,,,33.691,,1
Engagement,Cart Add,103.21.127.10,2025-01-27 05:10:56.425000+00:00,4362652549187,1,,,,Kumkumadi Oil,1
Engagement,Home,103.21.127.10,2025-01-27 05:11:37.121000+00:00,,,,,40.838,,1
Engagement,Home,103.21.127.10,2025-01-27 05:12:10.957000+00:00,,,,,33.835,,1
Engagement,Collection,103.233.219.74,2025-01-25 07:40:17.776000+00:00,,,best-sellers,,4.938,,1
